[Eubacterium] brachy	[Eubacterium] infirmum	[Eubacterium] minutum	[Eubacterium] saphenum	[Eubacterium] sulci	[Eubacterium] yurii	Actinobaculum sp. oral taxon 183	Actinomyces culturomici	Actinomyces dentalis	Actinomyces gerencseriae	Actinomyces israelii	Actinomyces johnsonii	Actinomyces massiliensis	Actinomyces naeslundii	Actinomyces oris	Actinomyces radicidentis	Actinomyces ruminicola	Actinomyces slackii	Actinomyces sp. HMSC062G12	Actinomyces sp. HMSC075C01	Actinomyces sp. HMSC08A09	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 849	Actinomyces sp. oral taxon 877	Actinomyces timonensis	Actinomyces urogenitalis	Actinomyces viscosus	Adlercreutzia equolifaciens	Aminobacterium colombiense	Anaeroglobus geminatus	Anaerolineaceae bacterium oral taxon 439	Anaerovorax odorimutans	Arabia massiliensis	Asaccharobacter celatus	Atopobium sp. oral taxon 810	Bacteroidetes oral taxon 274	Campylobacter concisus	Campylobacter gracilis	Campylobacter showae	Candidatus Kryptonium thompsoni	Candidatus Methanomethylophilus alvus	Candidatus Saccharibacteria oral taxon TM7x	Cardiobacterium valvarum	Catonella morbi	Cloacibacillus porcorum	Coriobacteriaceae bacterium 68-1-3	Corynebacterium matruchotii	Denitrobacterium detoxificans	Desulfobulbus oralis	Desulfomicrobium orale	Dialister invisus	Eggerthella lenta	Eggerthellaceae bacterium AT8	Eggerthia catenaformis	Eikenella corrodens	Emergencia timonensis	Enterorhabdus caecimuris	Enterorhabdus mucosicola	Eubacterium pyruvativorans	Filifactor alocis	Fusobacterium naviforme	Fusobacterium necrophorum	Fusobacterium nucleatum	Gordonibacter massiliensis	Gordonibacter pamelaeae	Gordonibacter urolithinfaciens	Johnsonella ignava	Jonquetella anthropi	Lachnoanaerobaculum saburreum	Lachnospiraceae bacterium oral taxon 500	Methanobrevibacter millerae	Methanobrevibacter oralis	Methanobrevibacter smithii	Methanobrevibacter sp. YE315	Mogibacterium diversum	Mogibacterium pumilum	Olsenella sp. oral taxon 807	Olsenella uli	Olsenella urininfantis	Oribacterium sp. oral taxon 078	Ottowia sp. oral taxon 894	Paraeggerthella hongkongensis	Parvimonas micra	Parvimonas sp. KA00067	Peptoanaerobacter stomatis	Peptoniphilus sp. oral taxon 386	Peptostreptococcaceae bacterium oral taxon 113	Peptostreptococcaceae bacterium pGA-8	Peptostreptococcus anaerobius	Phocaeicola abscessus	Porphyromonas gingivalis	Prevotella intermedia	Propionibacterium sp. oral taxon 192	Pseudopropionibacterium propionicum	Pseudoramibacter alactolyticus	Raoultibacter massiliensis	Raoultibacter timonensis	Schaalia cardiffensis	Schaalia georgiae	Schaalia meyeri	Selenomonas sp. oral taxon 126	Selenomonas sp. oral taxon 138	Selenomonas sputigena	Senegalimassilia anaerobia	Shuttleworthia satelles	Slackia exigua	Slackia heliotrinireducens	Solobacterium moorei	Streptobacillus moniliformis	Streptococcus anginosus	Streptococcus constellatus	Streptococcus equi	Streptococcus intermedius	Streptococcus sanguinis	Tannerella forsythia	Tannerella sp. oral taxon HOT-286	Thermanaerovibrio acidaminovorans	Thermoplasmatales archaeon BRNA1	Treponema denticola	Treponema lecithinolyticum	Treponema maltophilum	Treponema medium	Treponema pedis	Treponema putidum	Treponema socranskii	Treponema sp. OMZ 838	Treponema vincentii
8736	8436	1128964	8512	16506	1	1	1	171177	4719	284347	1	2782	1642	1802	1	675	1	1	1	1	1	69197	615	1	1	1	1	1	759	1	4943	435095	1	3089	682	625	22421	1114	3186	30090	5120	1	41601	1	1782	1	10310	1	913	264445	720	2547	7215	1124	4423	1	1110	1055	1008	959	17225	978	878	3387	3510	2743	1766	2560	1	756	10090	1	545344	649	1	10737	21340	238210	111349	1854	1785	1	2096	71610	1266	3190	1798	81060	2810	1121	161968	24379	1259	1	1	255901	1136	1600	8252	1	1	1	1	1498	938	654	22010	1096	681	1851	1456	844	664	1334	1	695484	1	1	1	61929	16805	60514	2486	619	3213	65509	1544	916
9442	5866	553464	105863	9789	1	1	1	129030	2883	72225	1	1852	1212	1242	1	1115	1631	1	1	1	1	49662	1	1	1	1	1	1	1019	1	6787	755079	615	3960	954	1	17093	1358	2317	39980	1280	1	7520	1	2066	1	13465	1	1103	385919	673	5650	9089	1310	2664	1	708	1401	1310	1	10772	1708	710	2907	4541	3352	2364	2493	789	599	9539	619	678256	1	1	8609	13568	150452	81004	1194	1740	1	2608	50414	722	2183	1081	58213	2398	1	490234	438140	1094	1	1	367030	1402	2017	6374	1	1	1	1	5601	1203	681	17506	1330	594	970	2363	1464	1	1932	1	484776	1	638	1	87810	11111	55654	4723	1	5060	72527	2786	1636
3831	3121	330906	20069	2701	1267	9722	1	229986	19259	233239	810	3846	2156	2489	642	1499	1666	1	1	1	466	93511	1201	1	538	834	632	1	528	985	627	234934	451	2159	565	1	67177	1838	9781	53938	558	1	20074	1	1841	805	7249	766	687	534544	1678	2930	5153	731	5208	1170	1	786	736	1	6201	838	1680	18937	2469	1862	1211	11475	1601	802	45231	1	55637	1	1	1529	4429	144292	8920	532	1252	9195	1606	13420	556	5758	1492	29490	1814	469	41835	156673	1289	1	15591	110403	871	1193	4095	1	1	1064	452	2118	702	1	3248	746	573	493	3833	930	758	1644	1	629765	1253	1301	1	53789	8581	44902	3256	1	2252	77764	1873	1212
6483	4961	421710	46032	3936	1	1	1	40927	1248	86557	1	885	420	796	1	1	1	1	1	1	1	17348	1	1	1	1	1	1	1	1	3236	368878	480	1173	1	1	8581	792	765	19765	904	1	468	1	909	1	3899	1	1	295754	665	1751	2951	445	4602	1	419	419	416	466	9891	1080	1307	1788	1380	1010	671	3236	576	625	9061	1	181611	1	1	8282	15956	50480	70965	1075	1095	1	809	18414	570	5735	1551	126681	2006	514	113736	215935	1490	1	1	174739	466	670	2886	1	1	1	1	1407	378	483	10834	403	658	749	2526	666	726	969	1	396780	1	1	1	29990	5557	36585	1719	1	1971	39938	972	567
1708	2065	236369	33316	3343	1	1	1	151841	2703	15014	1	2158	1215	1357	699	1176	1857	1	1	1	1	58810	725	1	1	672	601	1	718	1	1893	697178	1	2782	723	27144	1373	1	1	3937	3986	1	3382	1	1	1	8833	1	1019	86727	1	1533	6814	1550	1137	1	1	999	1033	1	2501	1	1	1	3099	2251	1585	618	1	1	1734	1649	1777614	1375	1	3228	5296	936779	127522	2785	864	600	2057	21831	1	838	1	6070	570	1	216981	86510	1	1	1	286786	1209	1587	20676	1	1	1	1	1	883	1	6584	1169	1	1	675	1	1	1	1	49950	1	1	1	24397	1775	7972	1262	1	1250	16367	703	1
35087	9123	574019	198695	7728	1	1	1	110804	4736	221717	1	1974	923	1838	1	587	1	1	1	1	1	39555	525	1	1	1	1	1	863	1	10479	1051885	874	3441	777	729	19630	843	1393	21766	1151	1	3028	671	1490	1	11991	1	912	366346	496	1129	7656	1003	4760	591	778	1147	1079	822	17302	2161	999	7279	4074	2977	2074	3540	619	1	7041	1	1	1	1	18851	28939	70057	147305	901	1757	2713	2180	85949	962	3111	956	120865	2909	675	115991	34288	1173	1	1494	403272	1140	1719	19590	1	1	1	1	2752	953	875	32572	1030	845	1400	2567	2006	859	1723	1	398800	1	1	1	70225	14437	42841	3602	1	4126	45885	2135	1290
11825	2142	221059	28935	2278	1784	34787	1	402244	56469	1845926	3963	59854	8845	9748	1641	3573	2218	1256	805	1	2411	225513	5832	1139	1629	2619	1495	1	1	1	3023	145215	1	1	1	1	63242	1166	16909	25217	1	1	6119	19745	2072	1	1890	67145	1	238192	724	1912	1369	1	827	24814	1	1	1	1	8472	625	1	84233	664	602	1	17385	852	1	2804	1	1	1	1	5046	7966	174843	15248	1	662	184612	1	54276	780	1197	1	2345	1	1	28881	3402	875	705	73816	352999	1	1	1	1	1258	1250	738	5142	1	1	6580	1	1	1	781	1	1	2798	1544	214150	1177	671	1	31012	17045	37182	1933	1	918	37307	1900	991
15026	4546	556104	128249	6774	1267	2905	1	124825	3120	166566	1	1333	954	713	1	1	1	1	1	1	1	50318	1	1	1	1	1	1	1	812	1723	635369	1	1445	1	1	62028	2316	3657	77554	1138	1	22561	1981	4087	641	4907	1	1	670413	924	1	3055	1	1452	4045	719	1	1	1	14254	4132	1	31012	1597	1222	866	3714	1296	1	12043	1	1	1	1	4586	7852	26581	28375	1	2726	5366	889	17856	1	3039	909	5447	1733	1	281765	827694	1921	1	13532	213998	1	725	1771	1	1	1551	737	7035	1	716	18361	1	1	791	1399	1370	1	2156	1	855334	1	1039	1	84890	21088	73453	7240	604	4945	89486	4181	2176
11444	7549	1082912	92815	10480	1	1	1	158114	3779	63159	1	719	931	653	1	623	1	1	1	1	1	57998	1121	1	1	1	1	1	1121	1	15657	752552	651	4433	924	1	19739	793	667	22961	1392	1	14565	2550	2022	1	15505	1	1128	409024	1062	1	9454	1195	2938	1018	1129	1378	1309	1045	23160	1791	821	1411	5140	3776	2602	2913	784	1	9555	1	1	1	1	13357	22024	34544	35809	587	2181	6819	2719	5128	1	2575	1450	141328	2465	497	271165	62923	791	1	1	247020	1484	2105	13599	1	1	1	1	1726	1315	633	12840	1294	573	1717	851	527	734	817	1	313314	1	602	1	81347	11000	54361	3867	622	4772	69984	2267	1246
2923	6461	640479	13799	5612	1	1	1	360041	6176	99736	464	1425	1669	1409	1	1382	481	1	1	1	1	148108	1075	1	1	569	1	1	1	1	2523	386217	1	1521	1	1267	10712	725	729	22248	1634	1	19287	1	1713	1	4922	1	458	346693	1058	1184	3422	454	7619	1	709	591	529	597	13847	818	1298	1073	1752	1299	848	3126	707	689	9556	1	1	1	1	6290	15353	73911	49124	671	1359	1	982	19091	656	5228	1693	45447	2921	524	238262	140687	892	1	1	125711	548	773	14238	1	1	1	1	3230	458	1	9266	594	664	760	3249	1206	701	1185	1	513237	1	542	1	46350	8529	50107	1991	1	2795	58604	1134	718
25535	6349	474622	21520	6476	1	1	1	12720	1	16619	1	1	1	1	1	1	1	1	1	1	1	3414	1	1	1	1	1	1	533	1	2994	216576	1	2045	497	45164	10061	559	1	15397	587	1	1	1	1145	1	6917	1	624	271389	873	994	4788	680	1979	1	698	667	665	594	6452	1	1	3454	2327	1741	1270	1442	1	433	4758	967	1069146	1208	1	8078	13965	66458	124860	1747	1174	1	1401	4951	1	1868	1216	58464	2627	1187	205446	102305	1180	1	1	196025	727	1079	666	1	1	1	1	591	646	472	7040	643	1	937	946	1	1	1273	1	255107	1	1	1	32920	6129	20628	2034	591	2631	23589	1246	893
10299	7344	974302	54615	5120	1	1	1	13167	1936	237703	1	1470	1	613	1	1	1	1	1	1	1	6111	1	1	1	1	1	1	1	950	1	805886	1	1642	1	1	41854	1450	1970	53630	1099	1	1	5874	2826	711	5540	1	1	664062	1995	1	3435	1	1929	1884	916	1	1	800	19142	1152	1142	2281	1899	1442	1065	3500	1410	571	8841	1	1	1	1	8087	15354	90038	39273	1	1971	16183	1112	3764	1	4409	1285	91412	2109	611	253420	204649	1711	1	1	468380	1	760	1	1	1	1	1	3392	1	1	5132	1	1	909	1450	1	1	745	1	399938	1	1264	1	61631	9689	74879	3012	1	3935	91219	1619	938
2586	2057	282417	7539	2295	1	1	1	298406	7594	134132	988	4996	1913	2492	1	1055	575	1	1	1	1	146366	1242	1	1	1391	1	1	922	1	13109	993893	1	3877	853	8302	17101	626	3111	16734	596	1	13235	912	1331	1	12825	1	948	363596	1	6195	7826	1521	1062	684	1	1253	1116	1	3769	941	1	1476	4441	3220	2273	934	702	1	3443	1	106360	709	1	3426	5746	903991	89938	2225	948	105574	2388	2732	1	1121	1	23727	1078	1	506685	288237	1225	729	8789	136647	1211	1754	68377	1	1	1	1	10830	1159	1	9175	1297	1	1	956	1	1	779	1914	101358	8207	583	1	47729	2944	24108	2355	1	2094	40323	1339	1320
5587	6299	308816	20594	925	587	1	1	222548	4984	62759	780	2071	3004	3380	1758	2787	6244	1	1	1	918	92966	1579	1	1	1742	1499	1	655	841	1	1440946	1828	2517	603	551	7436	1	1	2905	1	1	17639	1	5538	1260	8250	1	621	13456	327420	1	4795	878	10406	1	1947	924	767	969	3860	555	1159	994	2853	2152	1497	888	5297	443	14744	1	806	1	535	1	3552	105803	758	1	1011	1	3401	2632	1	5427	7731	68381	6026	537	16414	10122	1	1	4627	230205	948	1262	7054	1	1	1	1	477	715	726	3313	899	2671	1073	908	1211	1191	610	1	34619	1	1411	1	23710	1619	10156	585	2623	1442	29410	1	1
3761	1448	768635	2648	1095	1	1	1	155521	2951	57719	1	713	737	635	1	1	1	1	1	1	1	60707	541	1	1	1	1	1	1	1	1	1202104	1	1	1	1	16867	1	597	5854	1378	2577	2525	1	1321	641	1	1	1	1538828	3287	1	1	1	2948	1	1	1	1	1	4325	758	716	16406	1	1	1	1250	1624	1	7154	836	515997	2323	912	1	2108	145993	10795	1	567	1	1	1635	1	2043	1464	66695	1366	1	68001	24816	1	1	46347	1	1	1	42325	1	1	1	1	1	1	1	5127	1	1	1	1	561	1	550	1	134468	1	917	2633	27675	4414	29547	908	1083	1594	28889	554	1
3328	3228	507872	9315	930	1032	552	1	244546	15493	386534	1398	6472	4580	5567	2162	3553	7616	1	1	1	1144	101503	2356	1	1160	2300	2038	1	1	1220	1	865979	683	838	1	1	134840	893	16838	24026	736	1	36659	2185	4286	922	2933	898	1	644827	744109	1	1684	1	3240	1662	870	1	1	1	8290	882	1309	9147	1033	703	1	5209	1902	547	20238	1	1	1	1	1	3268	102711	841	1	955	678	2084	2262	1	3905	2481	16228	2622	1132	27006	92894	1679	682	304717	2318	1	1	10537	9462	1	1215	554	967	1	1	2098	1	1	978	1090	981	950	1823	1	291532	4016	1509	1	49296	4822	39379	1353	625	2009	56847	1074	725
16810	2122	570098	104225	2372	1535	3849	1	568615	125355	5796	1171	2144	4842	11677	612	1967	637	3348	878	1	1039	253331	2033	1	2065	788	624	700	1019	847	1	294029	587	4128	885	1	126563	903	8395	22588	1324	1	54381	1677	1599	704	14890	1589	1212	1040579	3117	1	9350	1228	3309	4246	1	1389	1316	1	7875	1678	828	27188	4786	3646	2579	38195	1569	1024	12514	1	1	1	1	1112	3730	119495	7676	707	1359	1	2687	16502	709	2749	1344	55145	1584	1	5049	32210	1290	657	288055	525	1456	2041	5911	7828	3246	1	1	1	1344	1	9168	1240	1	1489	1518	1489	644	2617	1	178404	7426	1218	1	60734	6886	56054	2400	560	2392	37662	1756	1014
4308	2930	577216	30517	1247	1	689	914	863081	22851	7673	1103	2005	4161	5548	830	2928	977	1978	497	1	868	332340	2629	1	1533	1075	915	722	655	652	1	993438	672	2644	597	1	62786	1	4237	8454	901	1	9121	1453	1923	642	9201	1	732	395870	888	1	4955	936	4193	1656	910	937	705	629	6124	654	902	2717	3017	2394	1581	2786	2192	1	11611	3614	8579	2984	7141	4339	7671	106029	18282	1	858	1	1708	20164	1	2593	2547	33263	2648	1	11429	13744	569	510	84782	717	1002	1341	21940	1568	1916	1	1	1	788	1	7118	882	712	830	860	1084	609	1032	1	71027	3520	998	1	28367	4147	28421	967	842	1119	34446	665	1
1786	2190	140098	591	1	1	10297	1	999190	135997	118553	2337	10236	9494	49703	1591	4058	1528	1503	4772	814	2116	391935	4412	945	1415	7572	1627	845	1	1	1	240132	1	1	1	1	23717	1	3180	11213	3950	1170	12909	1	1	1	790	1	1	135261	1	572	669	1	780	1	1	1	1	1	1026	1	1	5373	1	1	1	2194	429	1	932	1	1	1	1	1478	2934	287793	19390	778	558	1	535	6053	1	499	1	4152	421	1	40441	714	1	1732	29794	97278	1	1	1	3667	1622	1	1	837	1	1	10598	1	1	1	1	1	1	1	1	31850	619	1	1107	7793	1736	8437	1	1	1	14000	1	1
1901	1540	349994	2351	1639	1	1	1	100729	4142	143662	1	1781	724	696	1	513	1	1	1	1	1	42537	620	1	1	1	1	1	716	1	2564	321635	375	2283	629	2123	5504	1	348	8568	646	6556	1	1	655	1	7790	1	832	118497	1	759	5824	924	1559	1	1	856	823	1	1582	509	347	3052	2585	2023	1365	851	379	1	3046	525	1076959	873	1	622	2850	203539	28286	904	418	619	1671	2660	1	1408	686	12208	818	1	115913	4843	450	1	1191	1	1003	1430	5101	1	1	1	1	1	854	1	3714	887	1	618	1	1	1	1	1	223977	1	1	6205	11838	2630	13941	530	1	684	21161	1	1
232	484	46572	2060	1	1	13045	835	145384	16445	1389	3007	2316	12302	8307	351	477	462	381	535	265	5325	96916	652	1180	472	361	377	350	1	1	1	307939	1	271	1	1	771	1	150	274	11026	1	5009	748	232	1	892	3931	156	37651	1964	1	509	639	363	267	1	1	1	1	152	1	1	1	259	193	1	409	1	1	676	1	144	1	183	1381	2333	111443	3192	182	1	2353	301	277	1	214	1	3348	745	1	179	1251	1	238	35312	654	1	156	3972	1052	311	1	1	1	1	1	1021	1	1	1	1	1	1	246	24111	2241	1	1	1	337	164	741	1	1	1	768	1	1
1	1	64385	2284	1	1	3302	788	229055	16999	1645	888	794	5148	3902	317	718	352	1	334	1	426	136767	880	373	445	343	399	1	1	1	1	1085385	1	1	1	1	1	1	1	339	265	1	3969	1	1	1	735	2463	1	12598	25502	1	444	239	1	228	1	1	1	1	250	1	1	1	1	1	1	1	1	1	412	3311	4882	2927	6224	348	1067	42106	26223	1	1	853	1	1	1	1	1	21320	1	1	1070	1	1	1	19898	3623	1	1	18498	224	1	1	1	1	1	1	1703	1	1	1	1	1	1	1	2429	3721	1	1	1	254	1	572	1	1	1	1239	1	1
349	284	69137	18221	1	1	2528	1	350201	33390	3091	1159	1939	4978	6724	626	1251	647	497	487	1	936	190407	1529	458	659	658	740	261	1	1	1	619748	1	259	1	1	2059	1	999	2484	17648	1	9606	4157	285	1	861	14790	1	7215	28196	1	614	1	253	10307	1	1	1	1	584	1	1	1	262	1	1	553	1	1	1460	1	1	1	1	1	626	137961	49198	1	1	77632	355	295	1	265	1	7595	1	1	1201	1123	1	330	75653	2744	1	1	35815	2671	442	1	1	1	1	1	4831	1	1	1	1	1	1	287	2663	17673	797	1	1	1048	301	1934	1	1	1	2718	1	1
2289	3766	770016	8741	1340	1	1	1826	1325169	34554	11491	1731	4312	6900	5680	1784	4383	1704	1	1	1	1690	536495	4582	1	947	2391	2118	1	1793	1	1	2495430	1095	5621	1585	1	2215	1	1070	957	3390	7931	44014	1	3585	1632	18814	1	2405	382602	95794	1	12843	2715	3388	1	1514	2281	2135	1	3731	1	1	1	6289	4609	3219	1024	1078	1	8340	20911	31394	18363	40919	1	4130	401814	43312	2012	979	1	4862	1657	1	2417	2962	108363	3703	1	31738	3044	1	934	377193	1402	2902	4019	10792	1	1	1	1	1	2079	1	8320	2434	1	1	973	1710	1	1334	1	74594	1	1008	7344	4537	1	4281	1	1	1	15085	1	1
1	711	59709	1688	1	1	1	3523	575943	14045	5203	3484	12711	16849	15215	1331	2019	1044	405	998	513	3326	274877	2122	1415	995	1149	1224	582	1	1	1	715931	1	1	1	412	5329	1	3622	2769	1	1	14826	1692	1	1	979	11300	1	170914	3020	608	907	1	1	1216	1	1	1	1	492	1	1	1	1	417	1	1862	1	1	1830	1	1	1	1	416	933	593740	14354	961	1	52205	695	638	1	1	1	6150	1	1	3869	1509	1	1929	277213	26367	1	1	29458	1432	424	1	1	1	1	1	2317	1	1	1	1199	1	1	814	56135	9266	1755	1	1	1434	1	2269	1	1	1	3221	1	1
1	1	67633	1566	1	1	16847	1	602992	97807	6109	1378	1906	4634	11689	667	1839	658	1562	1034	398	1012	401866	2405	410	946	1202	900	550	1	1	1	24106	1	1	1	1	20088	1	6761	2078	2934	1	34801	3299	1	1	1	1	1	116187	551	1	1	1	1	2328	1	1	1	1	1	1	1	1	1	1	1	29363	1	392	854	1	1	1	1	1	1	460391	759	1	4339	1413	1	1	1	1	1	1	1	1	1	646	1	616	302061	1	1	1	1	7364	1357	1	1	1	1	1	1	1	1	1	1	1	1	1	1445	24258	3854	1	1	2433	1	5060	1	1	1	7516	1	1
1	271	2169	1	1	1	1	248	125715	7162	1351	2695	1286	41023	10961	918	811	486	1	458	302	3655	174525	1196	1301	1130	455	822	381	1	1	1	17477	1	1	1	1	12550	305	1204	6775	298	1	14877	21279	590	1	1	58489	1	4279	1	352	1	1	1	6379	1	1	1	1	1	1	1	1	1	1	1	727	1	1	1618	1	1	1	1	1	333	140731	19077	247	265	230985	239	1	1	1	1	268	1	1	1745	1	1	4394	232055	1786	1	1	19487	505	1	1220	3348	1626	1	1	955	1	376	1	327	1	1	307	50930	510	32931	1	1	1	1	2188	1	1	1	2501	1	1
584	1998	108916	10678	1	1	447	7999	260438	16112	1956	2870	1130	9382	12786	767	928	498	559	997	1	877	242537	1002	1048	1966	537	560	477	474	1	1	1035489	1	1326	1	435	5352	1	3090	7775	1	1	29750	1960	814	483	4365	1285	560	73547	21661	1270	3435	796	437	1	1	570	536	1	855	488	1	1	1545	1456	763	1139	513	1	3402	1531	1845	1275	3074	504	1171	515454	50050	1265	1609	7779	1315	513	1	547	393	17718	636	1	14500	2212	1	2948	49504	12595	674	844	169376	1913	588	619	975	3573	531	1	7807	520	713	1	1967	627	1	1149	27880	15403	7621	393	1	2378	540	4647	1	1	1	9939	1	1
1	1	14198	1	1	1	1	3227	112195	6005	3729	7685	71083	83644	453241	1	1	1	12448	3987	2822	11648	251751	1	2889	3891	1	1	3425	1	1	1	43817	1	1	1	1	62379	5458	4733	70240	3912	1	44415	64318	1	1	1	14865	1	18497	1	1	1	1	1	104576	1	1	1	1	1	1	1	2606	1	1	1	3162	1	1	10006	1	1	1	1	1	1	97302	1	1	1	1036677	1	1	1	1	1	1	1	1	1	1	1	5185	1535805	1	1	1	1	5471	7627	1	3990	1	1	1	1	1	4415	1	8645	1	1	12872	4317810	3687	29815	1	1	1	1	5169	1	1	1	4440	1	1
1	1	45355	1372	1	1	1102	7572	436594	49415	8646	11809	152059	149147	36114	2417	2526	1662	1098	1916	1130	11763	303745	2850	4778	3123	1684	1974	1174	1	1	1	593597	1	1	1	1	22124	1	5930	10293	3798	1	29764	15255	885	1	764	221489	1	155973	1352	1213	527	1	1	2837	1	1	1	1	836	1	1	1	1	1	1	11208	1	1	3493	1	1	1	1	1	626	313993	9789	1	1	164280	1	951	1	1	1	4080	1	1	6372	2180	1	3673	707960	26856	1	1	40083	8076	1087	559	1137	559	1	1	1459	1	1	1	1487	1	1	1112	146076	15372	23944	1	1	1995	1	4776	1	1	1	4932	746	1
1471	2102	655996	17541	882	1	1054	1	546261	62169	5175	917	2170	4201	8227	732	1916	773	3236	653	1	831	224331	2134	1	642	984	836	1	1439	1	1	2103577	1	4701	1299	1	11555	1	2546	2122	1430	656	29195	1	1898	979	15409	1	1865	723150	25458	1	10610	2143	2511	1094	691	1832	1754	1	2237	772	1	1	5245	3650	2638	4136	789	1	7993	1985	2879	1767	3764	1	2924	161178	7147	1047	910	1	3692	1321	1	1452	1226	21724	2093	1	6712	5772	1	1	481999	1	2275	3198	5782	3039	3338	1	1	1	1688	1	7724	1979	1	1	1	1	1	1	1	96802	1	712	699	7276	1234	8999	1	1	1	12873	1	1
