SampleID	Study	SourceSink	Env	Lab
AKI002.A0101	thisStudy	sink	calculus	Oklahoma
AMH001.A0101	thisStudy	sink	calculus	Oklahoma
AMH002.A0101	thisStudy	sink	calculus	Oklahoma
AMH003.A0101	thisStudy	sink	calculus	Oklahoma
AMH004.A0101	thisStudy	sink	calculus	Oklahoma
ANN001.A0101	thisStudy	sink	calculus	Oklahoma
ANN002.A0101	thisStudy	sink	calculus	Oklahoma
ANN003.A0101	thisStudy	sink	calculus	Oklahoma
ANN004.A0101	thisStudy	sink	calculus	Oklahoma
AON001.A0101	thisStudy	sink	calculus	Oklahoma
AON002.A0101	thisStudy	sink	calculus	Oklahoma
ARS001.A0101	Kovsgol	source	archBone	Shared
ARS004.A0101	Kovsgol	source	archBone	Shared
ARS005.A0101	Kovsgol	source	archBone	Shared
ARS020.A0101	Kovsgol	source	archBone	Shared
ARS010.A0101	Kovsgol	source	archBone	Shared
ARS011.A0101	Kovsgol	source	archBone	Shared
ARS012.A0101	Kovsgol	source	archBone	Shared
ARS013.A0101	Kovsgol	source	archBone	Shared
ARS015.A0101	Kovsgol	source	archBone	Shared
ARS017.A0101	Kovsgol	source	archBone	Shared
ATT001.A0101	thisStudy	sink	calculus	Oklahoma
ATT002.A0101	thisStudy	sink	calculus	Oklahoma
EFE002.B0101	thisStudy	sink	calculus	Jena
EFE003.B0101	thisStudy	sink	calculus	Jena
EFE004.B0101	thisStudy	sink	calculus	Jena
EFE005.B0101	thisStudy	sink	calculus	Jena
EFE006.B0101	thisStudy	sink	calculus	Jena
FUT021.B0101	thisStudy	sink	calculus	Jena
FUT024.B0101	thisStudy	sink	calculus	Jena
HCLVMBCX2-3505-01-00-01_S1	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-02-00-01_S2	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-05-00-01_S5	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-06-00-01_S6	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-07-00-01_S7	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-08-00-01_S8	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-11-00-01_S11	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-12-00-01_S12	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-14-00-01_S14	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-15-00-01_S15	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-16-00-01_S16	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-17-00-01_S17	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-19-00-01_S19	thisStudy	sink	blank	Otago
HCLVMBCX2-3505-21-00-01_S21	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-26-00-01_S26	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-28-00-01_S28	thisStudy	sink	calculus	Otago
HCLVMBCX2-3505-32-00-01_S32	thisStudy	sink	blank	Otago
NMU115.A0101	thisStudy	sink	calculus	Jena
NMU117.A0101	thisStudy	sink	calculus	Jena
NMU118.A0101	thisStudy	sink	calculus	Jena
NMU119.A0101	thisStudy	sink	calculus	Jena
NMU120.A0101	thisStudy	sink	calculus	Jena
NMU121.A0101	thisStudy	sink	calculus	Jena
NMU122.A0101	thisStudy	sink	calculus	Jena
NMU123.A0101	thisStudy	sink	calculus	Jena
NMU124.A0101	thisStudy	sink	calculus	Jena
NMU125.A0101	thisStudy	sink	calculus	Jena
NMU126.A0101	thisStudy	sink	calculus	Jena
NMU127.A0101	thisStudy	sink	calculus	Jena
NMU128.A0101	thisStudy	sink	calculus	Jena
NMU129.A0101	thisStudy	sink	calculus	Jena
NMU130.A0101	thisStudy	sink	calculus	Jena
PAH002.A0101	thisStudy	sink	calculus	Oklahoma
PAH003.A0101	thisStudy	sink	calculus	Oklahoma
RAP001.A0101	thisStudy	sink	calculus	Oklahoma
RAP002.A0101	thisStudy	sink	calculus	Oklahoma
SIG031.A0101	thisStudy	sink	calculus	Oklahoma
SIG032.A0101	thisStudy	sink	calculus	Oklahoma
SIG033.A0101	thisStudy	sink	calculus	Oklahoma
SIG035.A0101	thisStudy	sink	calculus	Oklahoma
TAP001.B0101	thisStudy	sink	calculus	Jena
TAP003.B0101	thisStudy	sink	calculus	Jena
TON004.B0101	thisStudy	sink	calculus	Jena
TON005.B0101	thisStudy	sink	calculus	Jena
TON006.B0101	thisStudy	sink	calculus	Jena
TON007.B0101	thisStudy	sink	calculus	Jena
EXB037.A3001	thisStudy	sink	blank	Jena
EXB037.A3201	thisStudy	sink	blank	Oklahoma
EXB037.A3401	thisStudy	sink	blank	Jena
EXB037.A3101	thisStudy	sink	blank	Oklahoma
EXB037.A2901	thisStudy	sink	blank	Jena
EXB037.A3301	thisStudy	sink	blank	Jena
LIB027.A0136	thisStudy	sink	blank	OkJen
LIB030.A0115	thisStudy	sink	blank	OkJen
LIB030.A0112	thisStudy	sink	blank	OkJen
LIB030.A0113	thisStudy	sink	blank	OkJen
LIB030.A0114	thisStudy	sink	blank	OkJen
NMU001.A0101	Naegele	source	archBone	Shared
NMU009.A0101	Naegele	source	archBone	Shared
SIG025.A0101	Naegele	source	archBone	Shared
SIG001.A0101	Naegele	source	archBone	Shared
SIG005.A0101	Naegele	source	archBone	Shared
SIG010.A0101	Naegele	source	archBone	Shared
NMU021.A0101	Naegele	source	archBone	Shared
NMU059.A0101	Naegele	source	archBone	Shared
SIG021.A0101	Naegele	source	archBone	Shared
NMU014.A0101	Naegele	source	archBone	Shared
NMU065.A0101	Naegele	source	archBone	Shared
NMU089.A0101	Naegele	source	archBone	Shared
SIG024.A0101	Naegele	source	archBone	Shared
NMU020.A0101	Naegele	source	archBone	Shared
NMU047.A0101	Naegele	source	archBone	Shared
NMU067.A0101	Naegele	source	archBone	Shared
SIG026.A0101	Naegele	source	archBone	Shared
SIG002.A0101	Naegele	source	archBone	Shared
SIG004.A0101	Naegele	source	archBone	Shared
SIG018.A0101	Naegele	source	archBone	Shared

